@relation creditRefinedMixedAttributesNoCase_No-csv

@attribute checking_status numeric
@attribute credit_history numeric
@attribute purpose numeric
@attribute credit_amount numeric
@attribute saving_status numeric
@attribute employment numeric
@attribute personal_status numeric
@attribute age numeric
@attribute job numeric
@attribute class numeric

@data
2,2,7,2622,2,2,0,34,2,1
2,0,3,2337,1,4,0,36,2,1
2,1,8,7057,0,3,0,36,3,1
0,2,9,1469,2,4,1,41,1,1
2,2,3,2323,1,3,0,24,2,1
0,1,3,932,1,2,3,24,2,1
2,0,4,1919,1,3,0,35,2,1
0,2,8,2445,0,1,1,26,2,1
2,0,0,11938,1,2,0,39,3,0
0,3,9,6458,1,4,0,39,3,0
2,2,9,6078,1,3,0,32,2,1
1,2,4,7721,0,1,3,30,2,1
2,2,7,1410,3,4,1,35,2,1
2,1,7,1449,2,4,2,31,2,1
3,2,6,392,1,1,3,23,2,1
2,2,9,6260,1,3,0,28,1,1
0,0,9,7855,1,2,3,25,2,0
1,2,3,1680,3,4,1,35,2,1
0,0,3,3578,0,4,0,47,2,1
1,2,3,7174,0,3,3,30,3,0
1,0,4,2132,0,1,3,27,2,1
1,0,4,4281,3,2,3,23,2,0
2,0,9,2366,3,3,2,36,3,1
1,2,3,1835,1,2,3,25,2,0
0,0,8,3868,1,4,3,41,3,1
0,2,4,1768,1,2,0,24,1,1
3,0,9,781,1,4,0,63,2,1
2,2,4,1924,0,1,3,27,2,0
1,0,9,2121,1,2,0,30,2,1
1,2,3,701,1,2,1,40,1,1
2,2,1,639,1,2,0,30,2,0
2,0,8,1860,1,0,0,34,3,1
1,0,9,3499,1,2,3,29,2,0
2,2,9,8487,0,3,3,24,2,1
1,1,6,6887,1,2,0,29,2,0
0,2,4,2708,1,1,0,27,1,1
0,2,4,1984,1,2,0,47,2,1
0,2,3,10144,2,3,3,21,2,1
0,0,3,1240,0,4,3,38,2,1
0,1,8,8613,4,2,0,27,2,1
2,2,3,766,3,2,0,66,1,0
2,0,3,2728,0,3,0,35,2,1
3,2,3,1881,1,2,3,44,1,1
3,2,9,709,4,1,1,27,0,1
2,2,3,4795,1,1,3,30,3,1
1,2,3,3416,1,2,0,27,3,1
1,2,4,2462,1,2,0,22,2,0
0,0,4,2288,1,1,3,23,2,1
2,3,7,3566,2,3,0,30,2,1
1,0,9,860,1,4,3,39,2,1
0,0,9,682,2,3,3,51,2,1
1,0,4,5371,1,2,0,28,2,1
0,0,3,1582,4,4,0,46,2,1
0,2,3,1346,2,4,0,42,2,1
0,2,3,1924,1,2,0,38,2,1
3,2,3,5848,1,2,0,24,2,1
2,0,8,7758,4,4,3,29,2,1
2,1,7,6967,2,3,0,36,3,1
1,2,4,1282,1,2,3,20,2,0
1,0,1,1288,2,4,0,48,2,1
1,3,5,339,1,4,1,45,1,1
2,2,9,3512,2,3,0,38,2,1
0,0,3,1898,0,2,0,34,1,1
0,0,3,2872,2,4,0,36,2,1
0,0,9,1055,1,1,3,30,2,1
0,2,2,1262,3,3,0,36,2,1
2,2,9,7308,1,0,0,70,3,1
0,2,9,909,3,4,0,36,2,1
0,2,4,2978,3,2,0,32,2,1
1,2,4,1131,1,0,3,33,2,0
2,2,4,1577,4,1,3,20,2,1
0,2,4,3972,1,3,3,25,2,1
2,0,7,1935,1,4,2,31,2,0
1,4,9,950,1,4,0,33,2,0
0,2,4,763,1,2,3,26,2,1
2,1,4,2064,1,0,3,34,3,0
2,2,3,1414,1,2,0,33,2,1
1,1,6,3414,1,1,0,26,2,0
0,3,8,7485,0,0,3,53,3,0
1,2,4,2577,1,2,2,42,2,1
1,0,3,338,3,4,0,52,2,1
0,2,3,1963,1,3,0,31,3,1
1,0,9,571,1,4,0,65,2,1
0,1,7,9572,1,1,2,28,2,0
2,1,7,4455,1,2,2,30,3,0
1,3,9,1647,0,2,0,40,1,0
0,0,4,3777,4,2,0,50,2,1
2,0,9,884,1,4,0,36,2,0
0,0,3,1360,1,2,0,31,2,1
2,3,8,5129,1,4,3,74,3,0
2,0,9,1175,1,0,0,68,0,1
1,2,3,674,2,3,1,20,2,0
2,4,4,3244,1,2,3,33,2,1
0,2,7,4591,4,2,0,54,3,0
2,4,7,3844,2,3,0,34,1,0
2,2,7,3915,1,2,0,36,2,0
0,2,3,2108,1,3,1,29,2,1
2,2,3,3031,2,2,0,21,2,0
2,0,6,1501,1,4,3,34,3,0
0,0,3,1382,1,2,3,28,2,1
2,2,4,951,2,1,3,27,2,0
2,2,8,2760,0,4,0,36,2,1
2,1,4,4297,1,4,2,40,3,0
0,0,6,936,3,4,0,52,2,1
1,2,9,1168,1,2,1,27,1,1
0,1,7,5117,1,3,0,26,2,1
1,2,5,902,1,3,1,21,2,0
0,0,9,1495,1,4,0,38,1,1
1,0,8,10623,1,4,0,38,3,1
0,0,4,1935,1,4,0,43,2,1
2,0,2,1424,1,3,0,26,2,1
1,2,7,6568,1,2,1,21,1,1
0,2,8,1413,4,3,0,55,2,1
0,0,3,3074,0,2,0,33,2,1
0,2,3,3835,0,4,3,45,1,1
1,4,7,5293,1,0,0,50,2,0
3,1,7,1908,1,4,0,66,3,0
0,0,3,3342,0,4,0,51,2,1
2,0,5,932,0,3,3,39,1,1
1,4,7,3104,1,3,0,31,2,1
3,2,3,3913,1,2,0,23,2,1
1,2,4,3021,1,2,2,24,1,1
0,2,9,1364,1,2,3,64,2,1
2,2,3,625,1,1,1,26,1,1
1,2,6,1200,0,2,3,23,2,1
0,2,3,707,1,2,0,30,2,1
0,1,7,2978,0,2,0,32,2,1
0,2,8,4657,1,2,0,30,2,1
0,4,1,2613,1,2,0,27,2,1
2,2,3,10961,4,3,0,27,2,0
1,2,4,7865,1,4,0,53,3,0
0,2,3,1478,1,3,0,22,2,0
1,2,4,3149,1,1,0,22,2,1
3,2,3,4210,1,2,0,26,2,0
0,2,9,2507,3,4,0,51,1,1
0,2,3,2141,2,3,0,35,2,1
2,2,3,866,1,2,1,25,1,1
0,0,3,1544,1,3,0,42,1,1
1,2,3,1823,1,0,0,30,3,0
2,2,9,14555,0,0,0,23,0,0
2,2,7,2767,2,4,2,61,1,0
0,0,3,1291,1,2,3,35,2,1
1,2,3,2522,1,4,0,39,2,1
1,2,9,915,0,4,3,29,2,0
0,2,3,1595,1,3,0,51,2,1
1,4,8,4605,1,4,0,24,2,0
0,0,7,1185,1,2,3,27,2,1
0,3,5,3447,3,2,3,35,1,1
0,2,7,1258,1,3,0,25,2,1
0,0,3,717,1,4,0,52,2,1
0,4,9,1204,2,2,0,35,2,1
3,2,4,1925,1,2,0,26,2,1
0,2,3,433,1,0,3,22,2,0
1,0,9,666,4,3,3,39,1,1
3,2,4,2251,1,2,3,46,1,1
2,2,9,2150,1,2,3,24,2,0
0,1,4,4151,2,2,0,35,2,1
2,2,4,2030,0,3,0,24,2,1
2,1,3,7418,0,2,0,27,1,1
0,0,3,2684,1,2,0,35,1,1
1,3,3,2149,1,2,2,29,2,0
0,2,8,3812,2,1,3,23,2,1
0,0,3,1154,2,0,3,57,1,1
1,2,4,1657,1,2,0,27,2,1
1,2,3,1603,1,4,3,55,2,1
1,0,9,5302,1,4,0,36,3,1
0,0,6,2748,1,4,3,57,1,1
0,0,9,1231,1,4,0,32,1,1
2,2,3,802,1,4,0,37,2,0
0,0,7,6304,0,4,0,36,2,1
0,2,3,1533,1,1,3,38,2,1
1,2,9,8978,1,4,2,45,3,0
0,2,3,999,0,4,0,25,2,1
0,2,9,2662,0,3,0,32,2,1
0,0,4,1402,3,3,3,37,2,1
2,3,9,12169,0,0,0,36,3,1
2,2,3,3060,1,3,0,28,2,0
1,2,1,11998,1,1,2,34,1,0
0,2,3,2697,1,2,0,32,2,1
0,0,3,2404,1,2,3,26,2,1
1,2,4,1262,0,4,2,49,1,1
0,2,4,4611,1,1,3,32,2,0
0,2,3,1901,2,2,0,29,3,1
0,0,8,3368,4,4,0,23,2,1
0,2,4,1574,1,2,0,50,2,1
3,3,3,1445,0,3,0,49,1,1
0,0,4,1520,0,4,0,63,2,1
2,0,9,3878,2,1,2,37,2,1
1,2,9,10722,1,1,3,35,1,1
1,2,8,4788,1,3,0,26,2,1
2,1,0,7582,2,0,0,31,3,1
2,2,3,1092,1,2,3,49,2,1
1,1,3,1024,1,1,1,48,2,0
0,2,7,1076,1,2,1,26,2,1
2,2,8,9398,1,1,1,28,3,0
1,0,8,6419,1,4,3,44,3,1
3,0,8,4796,1,4,0,56,2,1
0,0,7,7629,0,4,2,46,3,1
2,2,4,9960,1,1,3,26,2,0
0,2,8,4675,0,1,3,20,2,1
0,2,9,1287,0,4,0,45,1,1
0,2,4,2515,1,2,0,43,2,1
2,0,4,2745,4,3,0,32,2,1
0,2,9,672,1,0,3,54,0,1
2,4,3,3804,1,2,3,42,2,0
3,0,9,1344,0,3,0,37,1,0
1,0,9,1038,1,3,0,49,2,1
0,0,9,10127,3,2,0,44,2,0
0,2,4,1543,4,2,2,33,2,1
0,2,8,4811,0,3,3,24,1,1
1,2,3,727,2,1,1,33,1,0
2,2,4,1237,1,2,3,24,2,0
2,2,9,276,1,2,1,22,1,1
2,2,0,5381,0,0,0,40,0,1
0,2,4,5511,2,2,0,25,2,1
3,2,4,3749,1,1,3,26,2,1
2,2,9,685,1,3,1,25,1,0
3,2,9,1494,0,1,0,29,1,1
1,3,4,2746,1,4,0,31,2,0
1,2,4,708,1,2,0,38,1,1
2,2,4,4351,0,2,3,48,1,1
0,0,6,701,1,2,0,32,2,1
1,1,4,3643,1,4,3,27,1,1
2,0,9,4249,1,0,1,28,3,0
1,2,3,1938,1,1,2,32,2,0
1,2,8,2910,1,3,0,34,3,1
1,2,4,2659,4,2,0,28,2,1
0,0,9,1028,1,2,3,36,2,1
1,0,9,3398,1,3,0,39,1,1
0,0,4,5801,0,4,0,49,2,1
0,2,9,1525,4,3,3,34,2,1
3,2,3,4473,1,4,0,31,2,1
2,2,3,1068,1,4,0,28,2,1
1,0,8,6615,1,0,0,75,3,1
0,0,6,1864,2,2,3,30,2,0
2,2,9,7408,2,1,3,24,3,0
0,0,8,11590,2,2,3,24,1,0
1,4,4,4110,1,4,0,23,2,0
1,0,4,3384,1,2,2,44,3,0
2,2,3,2101,1,1,3,23,1,1
1,2,2,1275,0,2,3,24,2,0
1,2,4,4169,1,2,0,28,2,1
2,2,4,1521,1,2,2,31,1,1
2,0,6,5743,1,1,3,24,2,1
1,2,4,3599,1,3,3,26,1,1
2,2,3,3213,3,1,1,25,2,1
2,2,7,4439,1,4,0,33,3,1
3,2,9,3949,1,1,0,37,1,1
0,0,3,1459,1,2,3,43,1,1
2,0,3,882,1,1,0,23,2,1
2,2,3,3758,3,0,3,23,0,1
0,1,7,1743,2,2,0,34,1,1
2,0,6,1136,4,4,0,32,2,0
0,2,2,1236,1,1,3,23,2,1
2,2,4,959,1,2,3,29,2,0
0,0,8,3229,0,0,0,38,3,1
1,4,3,6199,1,2,0,28,2,0
0,2,6,727,3,4,0,46,2,1
2,2,9,1246,1,1,0,23,1,0
0,0,3,2331,0,4,0,49,2,1
0,1,3,4463,1,2,0,26,3,0
0,2,3,776,1,2,1,28,2,1
1,2,4,2406,1,3,3,23,2,0
2,2,6,1239,0,2,0,61,2,1
3,2,3,3399,0,4,0,37,3,1
3,1,9,2247,1,2,3,36,2,1
0,2,4,1766,1,2,1,21,2,1
1,2,4,2473,1,0,0,25,0,0
0,2,7,1542,1,3,0,36,2,1
0,0,8,3850,1,3,0,27,2,1
1,2,4,3650,1,1,3,22,2,1
1,2,4,3446,1,4,0,42,2,0
2,2,4,3001,1,3,3,40,2,1
0,2,9,3079,0,2,0,36,2,1
0,0,3,6070,1,4,0,33,2,1
0,0,4,2146,1,1,3,23,2,1
0,0,9,13756,0,4,0,63,3,1
2,3,0,14782,2,4,3,60,3,0
1,3,7,7685,1,3,3,37,2,0
0,1,3,2320,1,0,1,34,2,1
0,1,3,846,0,4,0,36,2,1
2,2,9,14318,1,4,0,57,3,0
0,0,9,362,2,2,3,52,1,1
1,2,4,2212,0,3,0,39,2,1
2,2,8,12976,1,0,3,38,3,0
0,2,9,1283,0,3,3,25,2,1
3,2,9,1330,1,1,0,26,2,1
0,1,7,4272,2,2,0,26,1,1
0,0,3,2238,1,2,3,25,2,1
0,2,3,1126,0,1,3,21,2,1
2,0,4,7374,1,0,0,40,3,1
2,0,7,2326,3,2,0,27,2,1
0,2,7,1449,1,3,3,27,2,1
0,2,9,1820,1,2,1,30,3,1
2,2,4,983,4,1,3,19,1,1
1,2,9,3249,1,3,0,39,3,1
1,0,3,1957,1,3,3,31,2,1
0,0,4,2406,1,0,0,31,3,1
2,1,6,11760,2,3,0,32,2,1
1,2,4,2578,1,0,3,55,3,1
1,0,4,2348,1,2,1,46,2,1
2,2,9,1223,1,4,2,46,2,0
0,0,3,1516,4,2,3,43,1,1
0,2,3,1473,1,1,1,39,2,1
2,0,7,1887,0,2,1,28,2,1
0,1,7,8648,1,1,0,27,2,0
0,1,9,802,1,2,0,27,1,1
2,1,9,2899,0,4,0,43,2,1
2,2,3,2039,1,1,1,22,2,0
0,0,8,2197,0,3,0,43,2,1
1,2,3,1053,1,1,1,27,2,1
0,2,3,3235,3,4,2,26,3,1
3,0,9,939,3,3,1,28,2,0
2,2,3,1967,1,4,3,20,2,1
0,0,8,7253,1,3,0,35,3,1
0,0,7,2292,1,0,0,42,3,0
0,2,9,1597,3,2,0,40,1,1
1,2,9,1381,0,2,3,35,2,0
0,0,8,5842,1,4,0,35,2,1
1,2,9,2579,1,1,0,33,1,0
1,1,6,8471,0,2,3,23,2,1
0,2,9,2782,3,3,3,31,3,1
2,2,9,1042,0,2,3,33,2,0
0,2,9,3186,4,3,3,20,2,1
2,2,8,2028,0,2,0,30,2,1
2,0,9,958,1,3,0,47,1,1
0,1,4,1591,2,3,0,34,3,1
2,2,4,2762,0,4,3,25,2,0
2,2,8,2779,1,2,1,21,2,1
0,0,3,2743,1,4,0,29,2,1
0,0,3,1149,4,2,0,46,2,1
0,2,4,1313,1,4,0,20,2,1
1,0,1,1190,1,0,3,55,0,0
0,2,7,3448,1,3,0,74,1,1
2,2,0,13280,1,2,0,29,3,0
1,0,4,1872,1,0,0,36,3,1
0,0,1,2058,1,2,2,33,2,1
1,2,4,2136,1,2,0,25,2,1
2,2,3,1484,0,2,1,25,2,0
0,2,1,660,3,3,1,23,1,1
0,0,9,1287,4,4,3,37,2,1
1,0,1,3394,1,0,0,65,0,1
3,3,7,609,1,1,3,26,0,0
0,2,9,1884,1,4,0,39,3,1
1,2,4,1620,1,2,3,30,2,1
2,1,0,2629,1,2,0,29,2,1
0,2,6,7190,1,4,0,41,1,0
2,0,4,5096,1,2,3,30,3,0
0,0,6,1244,0,4,3,41,1,1
1,2,9,1842,1,1,3,34,2,0
2,2,3,2576,1,2,0,35,2,1
3,2,4,1424,0,4,3,55,3,1
2,1,1,1512,4,2,1,61,2,0
0,0,8,11054,0,2,0,30,3,1
0,2,3,5180,1,2,3,29,2,1
0,4,4,2759,1,4,0,34,2,1
0,2,8,2670,1,4,0,35,3,1
1,2,9,4817,1,3,0,31,2,0
0,2,8,2679,1,1,3,29,3,1
1,0,9,3905,1,2,0,36,2,1
1,2,8,3386,1,4,0,35,2,0
1,2,2,343,1,1,3,27,2,1
0,2,3,4594,1,1,0,32,2,1
1,2,4,3620,1,2,0,37,2,1
1,2,9,1721,1,1,0,36,2,1
2,2,4,3017,1,1,3,34,3,1
2,2,5,754,0,4,0,38,2,1
0,2,7,1950,1,3,0,34,2,1
1,2,8,2924,1,2,0,63,2,1
1,1,3,1659,1,1,3,29,1,0
0,1,3,7238,0,4,0,32,2,1
0,1,7,2764,1,2,3,26,2,1
0,1,8,4679,1,3,0,35,1,1
2,2,3,3092,2,1,1,22,2,0
1,2,6,448,1,1,3,23,2,0
1,2,9,654,1,2,0,28,1,0
0,2,5,1238,0,0,0,36,3,1
2,0,3,1245,1,2,1,33,2,0
1,4,4,3114,1,1,3,26,2,0
0,2,8,2569,3,2,0,24,2,1
3,2,3,5152,1,3,0,25,2,1
2,2,7,1037,2,3,0,39,1,1
1,0,4,1478,1,4,0,44,2,1
2,0,3,3573,1,2,3,23,1,1
2,2,9,1201,1,1,0,26,2,1
1,2,4,3622,4,4,3,57,2,1
0,1,4,960,4,3,3,30,2,1
0,0,9,1163,3,2,0,44,2,1
2,1,9,1209,1,0,0,47,3,0
0,2,3,3077,1,2,0,52,2,1
0,2,9,3757,1,4,3,62,2,1
0,2,9,1418,2,2,0,35,1,1
0,2,9,3518,1,2,0,26,2,1
0,0,3,1934,1,4,0,26,2,1
2,4,7,8318,1,4,3,42,3,0
0,0,3,1237,2,2,3,27,2,1
2,2,3,368,0,4,0,38,2,1
1,0,9,2122,1,2,0,39,1,1
1,2,4,2996,0,2,1,20,2,0
2,2,4,9034,2,1,0,29,3,0
0,0,4,1585,1,3,0,40,2,1
2,2,3,1301,1,4,1,32,1,1
3,0,9,1323,2,4,2,28,2,1
1,2,9,3123,1,1,3,27,2,0
1,2,8,5493,1,4,0,42,2,1
3,2,3,1126,2,4,2,49,2,1
2,0,3,1216,2,1,0,38,2,0
1,2,9,1207,1,1,3,24,2,0
0,2,9,1309,0,2,0,27,1,0
3,0,8,2360,3,2,0,36,2,1
2,3,9,6850,2,0,0,34,3,0
0,2,3,1413,1,2,1,28,2,1
0,2,8,8588,2,4,0,45,3,1
1,2,9,759,1,3,0,26,2,0
0,2,8,4686,1,2,0,32,3,1
3,2,7,2687,1,3,0,26,2,1
2,1,3,5850,1,2,1,20,2,1
0,2,9,2255,0,1,0,54,2,1
1,0,9,609,1,3,3,37,2,1
1,0,9,1361,1,1,0,40,1,1
0,0,4,7127,1,1,3,23,2,0
1,2,9,1203,2,4,0,43,2,1
0,0,3,700,0,4,0,36,2,1
0,0,1,5507,1,4,0,44,2,1
1,2,3,3190,1,2,3,24,2,0
1,4,4,7119,1,2,0,53,2,0
0,2,8,3488,2,3,3,23,2,1
2,2,3,1113,1,2,3,26,1,1
2,2,8,7966,1,1,0,30,2,1
0,0,6,1532,2,2,3,31,2,1
0,0,3,1503,1,3,0,42,1,1
1,2,3,2302,1,2,2,31,2,0
1,2,9,662,1,1,0,41,1,1
2,2,6,2273,1,3,0,32,2,1
2,2,9,2631,2,2,3,28,2,0
0,1,8,1503,1,2,1,41,2,1
0,2,3,1311,2,3,1,26,2,1
0,2,3,3105,0,1,0,25,2,1
3,0,6,2319,1,1,2,33,2,0
1,2,9,1374,0,0,3,75,3,1
2,0,4,3612,1,4,3,37,2,1
1,2,9,7763,1,4,0,42,3,0
3,2,4,3049,1,1,3,45,1,1
2,2,3,1534,1,1,1,23,2,0
0,1,9,2032,1,4,0,60,2,1
1,2,4,6350,0,4,0,31,2,0
3,2,4,2864,1,2,0,34,1,0
0,0,9,1255,1,4,0,61,1,1
1,1,9,1333,1,0,0,43,2,0
0,0,9,2022,1,2,3,37,2,1
0,2,3,1552,1,3,0,32,2,1
1,3,3,626,1,2,3,24,1,0
0,0,8,8858,0,3,0,35,2,1
0,0,1,996,0,3,3,23,2,1
0,3,3,1750,3,4,0,45,1,1
1,2,3,6999,1,3,1,34,2,0
2,0,9,1995,2,1,0,27,2,1
2,2,6,1199,1,3,3,67,3,1
2,2,3,1331,1,1,0,22,2,0
2,4,9,2278,2,1,3,28,2,0
0,4,9,5003,0,2,3,29,2,0
1,3,4,3552,1,3,0,27,2,0
2,0,4,1928,1,1,0,31,1,0
1,2,8,2964,0,4,0,49,2,1
1,3,3,1546,1,3,0,24,1,0
3,1,3,683,1,1,3,29,2,1
2,2,9,12389,0,2,0,37,2,0
2,1,7,4712,0,2,0,37,3,1
2,1,3,1553,2,3,3,23,2,1
1,2,9,1372,1,3,2,36,2,0
0,0,3,2578,4,4,0,34,2,1
2,2,3,3979,0,3,0,41,2,1
1,2,3,6758,1,2,3,31,2,0
1,2,4,3234,1,1,3,23,1,0
0,0,3,5954,1,3,0,38,2,1
0,2,8,5433,0,0,3,26,3,1
1,2,7,806,1,2,3,22,1,1
2,2,3,1082,1,4,0,27,1,1
0,0,4,2788,1,3,3,24,2,1
2,2,3,2930,1,3,3,27,2,1
0,0,6,1927,0,2,3,33,2,1
2,0,9,2820,1,1,2,27,2,0
0,2,5,937,1,1,1,27,1,1
2,0,9,1056,1,4,0,30,2,0
2,0,9,3124,1,1,0,49,1,1
0,2,4,1388,1,2,3,26,2,1
2,2,1,2384,1,1,0,33,1,0
0,2,9,2133,0,4,3,52,3,1
1,2,4,2039,1,2,3,20,2,0
1,0,9,2799,1,2,0,36,2,1
1,2,4,1289,1,2,0,21,1,1
1,2,2,1217,1,2,1,47,1,0
1,0,4,2246,1,4,0,60,2,0
1,0,3,385,1,3,3,58,1,1
2,1,9,1965,0,2,3,42,2,1
0,2,7,1572,4,4,3,36,1,1
2,2,9,2718,1,2,3,20,1,0
1,3,0,13580,0,4,0,40,3,0
2,3,9,931,2,1,3,32,1,0
1,2,9,1442,1,3,3,23,2,0
2,4,7,4241,1,2,0,36,1,0
0,0,9,2775,1,3,0,31,2,0
0,1,7,3863,1,2,0,32,2,1
2,2,3,2329,1,1,3,45,2,1
2,2,4,918,1,2,3,30,2,0
2,3,6,1837,1,3,3,34,1,0
0,2,4,3349,1,2,3,28,3,0
3,2,4,1275,1,1,3,23,2,1
1,3,4,2828,3,2,0,22,2,1
0,0,7,4526,1,2,0,74,3,1
2,2,3,2671,2,2,3,50,2,0
0,2,3,2051,1,1,0,33,2,1
0,2,8,1300,0,4,0,45,2,1
1,2,2,741,2,0,3,22,2,0
3,2,9,1240,2,4,3,48,1,0
1,2,3,3357,4,1,3,29,2,1
1,3,8,3632,1,2,3,22,2,1
0,1,4,1808,1,3,3,22,2,0
2,4,7,12204,0,2,0,48,3,1
2,1,3,9157,0,2,0,27,3,1
1,0,9,3676,1,2,0,37,2,1
2,2,4,3441,2,2,3,21,2,0
0,2,9,640,1,2,2,49,1,1
2,0,7,3652,1,3,0,27,2,1
0,0,9,1530,1,2,0,32,2,0
0,2,7,3914,0,2,2,38,2,0
1,2,4,1858,1,1,3,22,2,1
1,2,3,2600,1,2,0,65,2,0
0,2,3,1979,0,4,0,35,2,1
3,2,4,2116,1,2,0,41,2,1
2,3,9,1437,2,3,0,29,2,0
0,0,4,4042,3,2,0,36,2,1
0,2,6,3832,0,4,0,64,1,1
1,2,3,3660,1,2,3,28,2,1
1,3,4,1553,1,2,0,44,2,0
2,2,3,1444,0,1,0,23,2,1
0,2,4,1980,1,1,3,19,2,0
2,2,9,1355,1,1,3,25,1,0
0,2,6,1393,1,4,0,47,2,1
0,2,3,1376,3,3,3,28,2,1
0,1,3,15653,1,3,0,21,2,1
0,2,3,1493,1,1,3,34,2,1
1,1,3,4370,1,3,0,26,2,0
1,2,6,750,1,0,3,27,0,0
2,2,1,1308,1,4,0,38,1,1
0,2,6,4623,2,2,0,40,3,0
0,0,3,1851,1,3,1,33,2,1
1,0,3,1880,1,3,1,32,3,1
0,1,7,7980,0,1,0,27,2,0
1,4,4,4583,1,2,2,32,2,1
0,2,9,1386,3,2,3,26,2,0
3,2,9,947,1,3,0,38,2,0
1,2,6,684,1,2,0,40,1,0
1,2,6,7476,1,3,0,50,3,1
2,2,4,1922,1,2,0,37,1,0
1,2,9,2303,1,4,0,45,2,0
2,1,9,8086,2,4,0,42,3,0
0,0,8,2346,1,3,0,35,2,1
1,2,9,3973,1,0,0,22,2,1
2,2,9,888,1,4,0,41,1,0
