case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
33.0,0<=X<200,existing paid,new car,5866.0,100<=X<500,1<=X<4,male single,30.0,skilled,good
34.0,no checking,critical/other existing credit,business,1264.0,no known savings,>=7,male single,57.0,unskilled resident,good
35.0,>=200,existing paid,furniture/equipment,1474.0,<100,<1,female div/sep/mar,33.0,high qualif/self emp/mgmt,good
36.0,0<=X<200,critical/other existing credit,radio/tv,4746.0,<100,<1,male single,25.0,unskilled resident,bad
37.0,no checking,critical/other existing credit,education,6110.0,<100,1<=X<4,male single,31.0,skilled,good
38.0,>=200,existing paid,radio/tv,2100.0,<100,1<=X<4,male single,37.0,skilled,bad
39.0,>=200,existing paid,domestic appliance,1225.0,<100,1<=X<4,male single,37.0,skilled,good
40.0,0<=X<200,existing paid,radio/tv,458.0,<100,1<=X<4,male single,24.0,skilled,good
41.0,no checking,existing paid,radio/tv,2333.0,500<=X<1000,>=7,male single,30.0,high qualif/self emp/mgmt,good
42.0,0<=X<200,existing paid,radio/tv,1158.0,500<=X<1000,1<=X<4,male div/sep,26.0,skilled,good
43.0,0<=X<200,delayed previously,repairs,6204.0,<100,1<=X<4,male single,44.0,unskilled resident,good
44.0,<0,critical/other existing credit,used car,6187.0,100<=X<500,4<=X<7,male mar/wid,24.0,skilled,good
45.0,<0,critical/other existing credit,used car,6143.0,<100,>=7,female div/sep/mar,58.0,unskilled resident,bad
46.0,no checking,critical/other existing credit,new car,1393.0,<100,<1,female div/sep/mar,35.0,high qualif/self emp/mgmt,good
47.0,no checking,existing paid,radio/tv,2299.0,500<=X<1000,>=7,male single,39.0,skilled,good
48.0,<0,existing paid,used car,1352.0,500<=X<1000,unemployed,female div/sep/mar,23.0,unemp/unskilled non res,good
49.0,no checking,critical/other existing credit,new car,7228.0,<100,1<=X<4,male single,39.0,unskilled resident,good
50.0,no checking,existing paid,radio/tv,2073.0,100<=X<500,1<=X<4,female div/sep/mar,28.0,skilled,good
51.0,0<=X<200,delayed previously,furniture/equipment,2333.0,no known savings,<1,male single,29.0,unskilled resident,good
52.0,0<=X<200,delayed previously,used car,5965.0,<100,>=7,male single,30.0,high qualif/self emp/mgmt,good
53.0,no checking,existing paid,radio/tv,1262.0,<100,1<=X<4,male single,25.0,skilled,good
54.0,no checking,existing paid,used car,3378.0,no known savings,1<=X<4,male single,33,skilled,good
55.0,0<=X<200,delayed previously,new car,2225.0,<100,>=7,male single,57.0,skilled,bad
56.0,no checking,all paid,new car,783.0,no known savings,1<=X<4,male single,26.0,unskilled resident,good
57.0,0<=X<200,existing paid,radio/tv,6468.0,no known savings,unemployed,male single,52.0,high qualif/self emp/mgmt,bad
58.0,no checking,critical/other existing credit,radio/tv,9566.0,<100,1<=X<4,female div/sep/mar,31.0,skilled,good
59.0,>=200,existing paid,new car,1961.0,<100,>=7,female div/sep/mar,23.0,high qualif/self emp/mgmt,good
60.0,<0,critical/other existing credit,furniture/equipment,6229.0,<100,<1,female div/sep/mar,23.0,unskilled resident,bad
61.0,0<=X<200,existing paid,business,1391.0,<100,1<=X<4,male mar/wid,27.0,skilled,good
62.0,0<=X<200,critical/other existing credit,radio/tv,1537.0,no known savings,>=7,male single,50.0,skilled,good
63.0,0<=X<200,no credits/all paid,business,1953.0,<100,>=7,male single,61.0,high qualif/self emp/mgmt,bad
64.0,0<=X<200,no credits/all paid,business,14421.0,<100,1<=X<4,male single,25.0,skilled,bad
65.0,no checking,existing paid,radio/tv,3181.0,<100,<1,female div/sep/mar,26.0,skilled,good
66.0,no checking,existing paid,repairs,5190.0,no known savings,>=7,male single,48.0,skilled,good
67.0,no checking,existing paid,radio/tv,2171.0,<100,<1,female div/sep/mar,29.0,skilled,good
68.0,0<=X<200,existing paid,new car,1007.0,>=1000,1<=X<4,male mar/wid,22,skilled,good
69.0,no checking,existing paid,education,1819.0,<100,1<=X<4,male single,37.0,skilled,bad
70.0,no checking,existing paid,radio/tv,2394.0,no known savings,1<=X<4,female div/sep/mar,25.0,skilled,good
71.0,no checking,existing paid,used car,8133.0,<100,1<=X<4,female div/sep/mar,30.0,skilled,good
72.0,no checking,critical/other existing credit,radio/tv,730.0,no known savings,>=7,male single,46.0,unskilled resident,good
73.0,<0,critical/other existing credit,other,1164.0,<100,>=7,male single,51.0,high qualif/self emp/mgmt,good
74.0,0<=X<200,critical/other existing credit,business,5954.0,<100,4<=X<7,female div/sep/mar,41.0,unskilled resident,good
75.0,<0,existing paid,education,1977.0,no known savings,>=7,male single,40.0,high qualif/self emp/mgmt,bad
76.0,<0,critical/other existing credit,used car,1526.0,<100,>=7,male single,66.0,high qualif/self emp/mgmt,good
77.0,<0,existing paid,radio/tv,3965.0,<100,<1,male single,34.0,skilled,bad
78.0,0<=X<200,delayed previously,radio/tv,4771.0,<100,4<=X<7,male single,51.0,skilled,good
79.0,no checking,no credits/all paid,used car,9436.0,no known savings,1<=X<4,male single,39.0,unskilled resident,good
80.0,0<=X<200,existing paid,furniture/equipment,3832.0,<100,<1,male mar/wid,22,skilled,good
81.0,no checking,existing paid,radio/tv,5943.0,no known savings,<1,female div/sep/mar,44.0,skilled,bad
82.0,no checking,existing paid,radio/tv,1213.0,500<=X<1000,>=7,male single,47.0,skilled,good
83.0,no checking,existing paid,business,1568.0,100<=X<500,1<=X<4,female div/sep/mar,24.0,unskilled resident,good
84.0,<0,existing paid,other,1755.0,<100,>=7,female div/sep/mar,58.0,unskilled resident,good
85.0,<0,existing paid,radio/tv,2315.0,<100,>=7,male single,52.0,unskilled resident,good
86.0,no checking,critical/other existing credit,business,1412.0,<100,1<=X<4,female div/sep/mar,29.0,high qualif/self emp/mgmt,good
87.0,0<=X<200,critical/other existing credit,furniture/equipment,1295.0,<100,<1,female div/sep/mar,27.0,skilled,good
88.0,0<=X<200,existing paid,education,12612.0,100<=X<500,1<=X<4,male single,47.0,skilled,bad
89.0,<0,existing paid,new car,2249.0,100<=X<500,4<=X<7,male single,30.0,high qualif/self emp/mgmt,good
90.0,<0,no credits/all paid,repairs,1108.0,<100,4<=X<7,male single,28.0,skilled,bad
91.0,no checking,critical/other existing credit,radio/tv,618.0,<100,>=7,male single,56.0,skilled,good
92.0,<0,critical/other existing credit,used car,1409.0,<100,>=7,male single,54.0,skilled,good
93.0,no checking,critical/other existing credit,radio/tv,797.0,no known savings,>=7,female div/sep/mar,33.0,unskilled resident,bad
94.0,>=200,critical/other existing credit,furniture/equipment,3617.0,no known savings,>=7,male single,20.0,skilled,good
95.0,0<=X<200,existing paid,new car,1318.0,>=1000,>=7,male single,54.0,skilled,good
96.0,0<=X<200,no credits/all paid,business,15945.0,<100,<1,male single,58.0,skilled,bad
97.0,no checking,critical/other existing credit,education,2012.0,no known savings,4<=X<7,female div/sep/mar,61.0,skilled,good
98.0,0<=X<200,existing paid,business,2622.0,100<=X<500,1<=X<4,male single,34.0,skilled,good
99.0,0<=X<200,critical/other existing credit,radio/tv,2337.0,<100,>=7,male single,36.0,skilled,good
100.0,0<=X<200,delayed previously,used car,7057.0,no known savings,4<=X<7,male single,36.0,high qualif/self emp/mgmt,good
101.0,no checking,existing paid,new car,1469.0,100<=X<500,>=7,male mar/wid,41.0,unskilled resident,good
102.0,0<=X<200,existing paid,radio/tv,2323.0,<100,4<=X<7,male single,24.0,skilled,good
103.0,no checking,delayed previously,radio/tv,932.0,<100,1<=X<4,female div/sep/mar,24.0,skilled,good
104.0,0<=X<200,critical/other existing credit,furniture/equipment,1919.0,<100,4<=X<7,male single,35.0,skilled,good
105.0,no checking,existing paid,used car,2445.0,no known savings,<1,male mar/wid,26.0,skilled,good
106.0,0<=X<200,critical/other existing credit,other,11938.0,<100,1<=X<4,male single,39.0,high qualif/self emp/mgmt,bad
107.0,no checking,all paid,new car,6458.0,<100,>=7,male single,39.0,high qualif/self emp/mgmt,bad
108.0,0<=X<200,existing paid,new car,6078.0,<100,4<=X<7,male single,32.0,skilled,good
109.0,<0,existing paid,furniture/equipment,7721.0,no known savings,<1,female div/sep/mar,30.0,skilled,good
110.0,0<=X<200,existing paid,business,1410.0,500<=X<1000,>=7,male mar/wid,35.0,skilled,good
111.0,0<=X<200,delayed previously,business,1449.0,100<=X<500,>=7,male div/sep,31.0,skilled,good
112.0,>=200,existing paid,education,392.0,<100,<1,female div/sep/mar,23.0,skilled,good
113.0,0<=X<200,existing paid,new car,6260.0,<100,4<=X<7,male single,28.0,unskilled resident,good
114.0,no checking,critical/other existing credit,new car,7855.0,<100,1<=X<4,female div/sep/mar,25.0,skilled,bad
115.0,<0,existing paid,radio/tv,1680.0,500<=X<1000,>=7,male mar/wid,35.0,skilled,good
116.0,no checking,critical/other existing credit,radio/tv,3578.0,no known savings,>=7,male single,47.0,skilled,good
117.0,<0,existing paid,radio/tv,7174.0,no known savings,4<=X<7,female div/sep/mar,30.0,high qualif/self emp/mgmt,bad
118.0,<0,critical/other existing credit,furniture/equipment,2132.0,no known savings,<1,female div/sep/mar,27.0,skilled,good
119.0,<0,critical/other existing credit,furniture/equipment,4281.0,500<=X<1000,1<=X<4,female div/sep/mar,23.0,skilled,bad
120.0,0<=X<200,critical/other existing credit,new car,2366.0,500<=X<1000,4<=X<7,male div/sep,36.0,high qualif/self emp/mgmt,good
121.0,<0,existing paid,radio/tv,1835.0,<100,1<=X<4,female div/sep/mar,25.0,skilled,bad
122.0,no checking,critical/other existing credit,used car,3868.0,<100,>=7,female div/sep/mar,41.0,high qualif/self emp/mgmt,good
123.0,no checking,existing paid,furniture/equipment,1768.0,<100,1<=X<4,male single,24.0,unskilled resident,good
124.0,>=200,critical/other existing credit,new car,781.0,<100,>=7,male single,63.0,skilled,good
125.0,0<=X<200,existing paid,furniture/equipment,1924.0,no known savings,<1,female div/sep/mar,27.0,skilled,bad
126.0,<0,critical/other existing credit,new car,2121.0,<100,1<=X<4,male single,30.0,skilled,good
127.0,<0,existing paid,radio/tv,701.0,<100,1<=X<4,male mar/wid,40.0,unskilled resident,good
128.0,0<=X<200,existing paid,repairs,639.0,<100,1<=X<4,male single,30.0,skilled,bad
129.0,0<=X<200,critical/other existing credit,used car,1860.0,<100,unemployed,male single,34.0,high qualif/self emp/mgmt,good
130.0,<0,critical/other existing credit,new car,3499.0,<100,1<=X<4,female div/sep/mar,29.0,skilled,bad
131.0,0<=X<200,existing paid,new car,8487.0,no known savings,4<=X<7,female div/sep/mar,24.0,skilled,good
132.0,<0,delayed previously,education,6887.0,<100,1<=X<4,male single,29.0,skilled,bad
133.0,no checking,existing paid,furniture/equipment,2708.0,<100,<1,male single,27.0,unskilled resident,good
134.0,no checking,existing paid,furniture/equipment,1984.0,<100,1<=X<4,male single,47.0,skilled,good
135.0,no checking,existing paid,radio/tv,10144.0,100<=X<500,4<=X<7,female div/sep/mar,21.0,skilled,good
136.0,no checking,critical/other existing credit,radio/tv,1240.0,no known savings,>=7,female div/sep/mar,38.0,skilled,good
137.0,no checking,delayed previously,used car,8613.0,>=1000,1<=X<4,male single,27.0,skilled,good
138.0,0<=X<200,existing paid,radio/tv,766.0,500<=X<1000,1<=X<4,male single,66.0,unskilled resident,bad
139.0,0<=X<200,critical/other existing credit,radio/tv,2728.0,no known savings,4<=X<7,male single,35.0,skilled,good
140.0,>=200,existing paid,radio/tv,1881.0,<100,1<=X<4,female div/sep/mar,44.0,unskilled resident,good
141.0,>=200,existing paid,new car,709.0,>=1000,<1,male mar/wid,27.0,unemp/unskilled non res,good
142.0,0<=X<200,existing paid,radio/tv,4795.0,<100,<1,female div/sep/mar,30.0,high qualif/self emp/mgmt,good
143.0,<0,existing paid,radio/tv,3416.0,<100,1<=X<4,male single,27.0,high qualif/self emp/mgmt,good
144.0,<0,existing paid,furniture/equipment,2462.0,<100,1<=X<4,male single,22.0,skilled,bad
145.0,no checking,critical/other existing credit,furniture/equipment,2288.0,<100,<1,female div/sep/mar,23.0,skilled,good
146.0,0<=X<200,all paid,business,3566.0,100<=X<500,4<=X<7,male single,30.0,skilled,good
147.0,<0,critical/other existing credit,new car,860.0,<100,>=7,female div/sep/mar,39.0,skilled,good
148.0,no checking,critical/other existing credit,new car,682.0,100<=X<500,4<=X<7,female div/sep/mar,51.0,skilled,good
149.0,<0,critical/other existing credit,furniture/equipment,5371.0,<100,1<=X<4,male single,28.0,skilled,good
150.0,no checking,critical/other existing credit,radio/tv,1582.0,>=1000,>=7,male single,46.0,skilled,good
151.0,no checking,existing paid,radio/tv,1346.0,100<=X<500,>=7,male single,42.0,skilled,good
152.0,no checking,existing paid,radio/tv,1924.0,<100,1<=X<4,male single,38.0,skilled,good
153.0,>=200,existing paid,radio/tv,5848.0,<100,1<=X<4,male single,24.0,skilled,good
154.0,0<=X<200,critical/other existing credit,used car,7758.0,>=1000,>=7,female div/sep/mar,29.0,skilled,good
155.0,0<=X<200,delayed previously,business,6967.0,100<=X<500,4<=X<7,male single,36.0,high qualif/self emp/mgmt,good
156.0,<0,existing paid,furniture/equipment,1282.0,<100,1<=X<4,female div/sep/mar,20.0,skilled,bad
157.0,<0,critical/other existing credit,repairs,1288.0,100<=X<500,>=7,male single,48.0,skilled,good
158.0,<0,all paid,retraining,339.0,<100,>=7,male mar/wid,45.0,unskilled resident,good
159.0,0<=X<200,existing paid,new car,3512.0,100<=X<500,4<=X<7,male single,38.0,skilled,good
160.0,no checking,critical/other existing credit,radio/tv,1898.0,no known savings,1<=X<4,male single,34.0,unskilled resident,good
161.0,no checking,critical/other existing credit,radio/tv,2872.0,100<=X<500,>=7,male single,36.0,skilled,good
162.0,no checking,critical/other existing credit,new car,1055.0,<100,<1,female div/sep/mar,30.0,skilled,good
163.0,no checking,existing paid,domestic appliance,1262.0,500<=X<1000,4<=X<7,male single,36.0,skilled,good
164.0,0<=X<200,existing paid,new car,7308.0,<100,unemployed,male single,70.0,high qualif/self emp/mgmt,good
165.0,no checking,existing paid,new car,909.0,500<=X<1000,>=7,male single,36.0,skilled,good
166.0,no checking,existing paid,furniture/equipment,2978.0,500<=X<1000,1<=X<4,male single,32.0,skilled,good
167.0,<0,existing paid,furniture/equipment,1131.0,<100,unemployed,female div/sep/mar,33.0,skilled,bad
168.0,0<=X<200,existing paid,furniture/equipment,1577.0,>=1000,<1,female div/sep/mar,20.0,skilled,good
169.0,no checking,existing paid,furniture/equipment,3972.0,<100,4<=X<7,female div/sep/mar,25.0,skilled,good
170.0,0<=X<200,critical/other existing credit,business,1935.0,<100,>=7,male div/sep,31.0,skilled,bad
171.0,<0,no credits/all paid,new car,950.0,<100,>=7,male single,33.0,skilled,bad
172.0,no checking,existing paid,furniture/equipment,763.0,<100,1<=X<4,female div/sep/mar,26.0,skilled,good
173.0,0<=X<200,delayed previously,furniture/equipment,2064.0,<100,unemployed,female div/sep/mar,34.0,high qualif/self emp/mgmt,bad
174.0,0<=X<200,existing paid,radio/tv,1414.0,<100,1<=X<4,male single,33,skilled,good
175.0,<0,delayed previously,education,3414.0,<100,<1,male single,26.0,skilled,bad
176.0,no checking,all paid,used car,7485.0,no known savings,unemployed,female div/sep/mar,53.0,high qualif/self emp/mgmt,bad
177.0,<0,existing paid,furniture/equipment,2577.0,<100,1<=X<4,male div/sep,42.0,skilled,good
178.0,<0,critical/other existing credit,radio/tv,338.0,500<=X<1000,>=7,male single,52.0,skilled,good
179.0,no checking,existing paid,radio/tv,1963.0,<100,4<=X<7,male single,31.0,high qualif/self emp/mgmt,good
180.0,<0,critical/other existing credit,new car,571.0,<100,>=7,male single,65.0,skilled,good
181.0,no checking,delayed previously,business,9572.0,<100,<1,male div/sep,28.0,skilled,bad
182.0,0<=X<200,delayed previously,business,4455.0,<100,1<=X<4,male div/sep,30.0,high qualif/self emp/mgmt,bad
183.0,<0,all paid,new car,1647.0,no known savings,1<=X<4,male single,40.0,unskilled resident,bad
184.0,no checking,critical/other existing credit,furniture/equipment,3777.0,>=1000,1<=X<4,male single,50.0,skilled,good
185.0,0<=X<200,critical/other existing credit,new car,884.0,<100,>=7,male single,36.0,skilled,bad
186.0,no checking,critical/other existing credit,radio/tv,1360.0,<100,1<=X<4,male single,31.0,skilled,good
187.0,0<=X<200,all paid,used car,5129.0,<100,>=7,female div/sep/mar,74.0,high qualif/self emp/mgmt,bad
188.0,0<=X<200,critical/other existing credit,new car,1175.0,<100,unemployed,male single,68.0,unemp/unskilled non res,good
189.0,<0,existing paid,radio/tv,674.0,100<=X<500,4<=X<7,male mar/wid,20.0,skilled,bad
190.0,0<=X<200,no credits/all paid,furniture/equipment,3244.0,<100,1<=X<4,female div/sep/mar,33.0,skilled,good
191.0,no checking,existing paid,business,4591.0,>=1000,1<=X<4,male single,54.0,high qualif/self emp/mgmt,bad
192.0,0<=X<200,no credits/all paid,business,3844.0,100<=X<500,4<=X<7,male single,34,unskilled resident,bad
193.0,0<=X<200,existing paid,business,3915.0,<100,1<=X<4,male single,36.0,skilled,bad
194.0,no checking,existing paid,radio/tv,2108.0,<100,4<=X<7,male mar/wid,29.0,skilled,good
195.0,0<=X<200,existing paid,radio/tv,3031.0,100<=X<500,1<=X<4,male single,21.0,skilled,bad
196.0,0<=X<200,critical/other existing credit,education,1501.0,<100,>=7,female div/sep/mar,34.0,high qualif/self emp/mgmt,bad
197.0,no checking,critical/other existing credit,radio/tv,1382.0,<100,1<=X<4,female div/sep/mar,28.0,skilled,good
198.0,0<=X<200,existing paid,furniture/equipment,951.0,100<=X<500,<1,female div/sep/mar,27.0,skilled,bad
199.0,0<=X<200,existing paid,used car,2760.0,no known savings,>=7,male single,36.0,skilled,good
200.0,0<=X<200,delayed previously,furniture/equipment,4297.0,<100,>=7,male div/sep,40.0,high qualif/self emp/mgmt,bad
201.0,no checking,critical/other existing credit,education,936.0,500<=X<1000,>=7,male single,52.0,skilled,good
202.0,<0,existing paid,new car,1168.0,<100,1<=X<4,male mar/wid,27.0,unskilled resident,good
203.0,no checking,delayed previously,business,5117.0,<100,4<=X<7,male single,26.0,skilled,good
204.0,<0,existing paid,retraining,902.0,<100,4<=X<7,male mar/wid,21.0,skilled,bad
205.0,no checking,critical/other existing credit,new car,1495.0,<100,>=7,male single,38.0,unskilled resident,good
206.0,<0,critical/other existing credit,used car,10623.0,<100,>=7,male single,38.0,high qualif/self emp/mgmt,good
207.0,no checking,critical/other existing credit,furniture/equipment,1935.0,<100,>=7,male single,43.0,skilled,good
208.0,0<=X<200,critical/other existing credit,domestic appliance,1424.0,<100,4<=X<7,male single,26.0,skilled,good
209.0,<0,existing paid,business,6568.0,<100,1<=X<4,male mar/wid,21.0,unskilled resident,good
210.0,no checking,existing paid,used car,1413.0,>=1000,4<=X<7,male single,55.0,skilled,good
211.0,no checking,critical/other existing credit,radio/tv,3074.0,no known savings,1<=X<4,male single,33.0,skilled,good
212.0,no checking,existing paid,radio/tv,3835.0,no known savings,>=7,female div/sep/mar,45.0,unskilled resident,good
213.0,<0,no credits/all paid,business,5293.0,<100,unemployed,male single,50.0,skilled,bad
214.0,>=200,delayed previously,business,1908.0,<100,>=7,male single,66.0,high qualif/self emp/mgmt,bad
215.0,no checking,critical/other existing credit,radio/tv,3342.0,no known savings,>=7,male single,51.0,skilled,good
216.0,0<=X<200,critical/other existing credit,retraining,932.0,no known savings,4<=X<7,female div/sep/mar,39.0,unskilled resident,good
217.0,<0,no credits/all paid,business,3104.0,<100,4<=X<7,male single,31.0,skilled,good
218.0,>=200,existing paid,radio/tv,3913.0,<100,1<=X<4,male single,23.0,skilled,good
219.0,<0,existing paid,furniture/equipment,3021.0,<100,1<=X<4,male div/sep,24.0,unskilled resident,good
220.0,no checking,existing paid,new car,1364.0,<100,1<=X<4,female div/sep/mar,64.0,skilled,good
221.0,0<=X<200,existing paid,radio/tv,625.0,<100,<1,male mar/wid,26.0,unskilled resident,good
222.0,<0,existing paid,education,1200.0,no known savings,1<=X<4,female div/sep/mar,23.0,skilled,good
223.0,no checking,existing paid,radio/tv,707.0,<100,1<=X<4,male single,30.0,skilled,good
224.0,no checking,delayed previously,business,2978.0,no known savings,1<=X<4,male single,32.0,skilled,good
225.0,no checking,existing paid,used car,4657.0,<100,1<=X<4,male single,30.0,skilled,good
226.0,no checking,no credits/all paid,repairs,2613.0,<100,1<=X<4,male single,27.0,skilled,good
227.0,0<=X<200,existing paid,radio/tv,10961.0,>=1000,4<=X<7,male single,27.0,skilled,bad
228.0,<0,existing paid,furniture/equipment,7865.0,<100,>=7,male single,53.0,high qualif/self emp/mgmt,bad
229.0,no checking,existing paid,radio/tv,1478.0,<100,4<=X<7,male single,22.0,skilled,bad
230.0,<0,existing paid,furniture/equipment,3149.0,<100,<1,male single,22.0,skilled,good
231.0,>=200,existing paid,radio/tv,4210.0,<100,1<=X<4,male single,26.0,skilled,bad
232.0,no checking,existing paid,new car,2507.0,500<=X<1000,>=7,male single,51.0,unskilled resident,good
233.0,no checking,existing paid,radio/tv,2141.0,100<=X<500,4<=X<7,male single,35,skilled,good
234.0,0<=X<200,existing paid,radio/tv,866.0,<100,1<=X<4,male mar/wid,25.0,unskilled resident,good
235.0,no checking,critical/other existing credit,radio/tv,1544.0,<100,4<=X<7,male single,42.0,unskilled resident,good
236.0,<0,existing paid,radio/tv,1823.0,<100,unemployed,male single,30.0,high qualif/self emp/mgmt,bad
237.0,0<=X<200,existing paid,new car,14555.0,no known savings,unemployed,male single,23.0,unemp/unskilled non res,bad
238.0,0<=X<200,existing paid,business,2767.0,100<=X<500,>=7,male div/sep,61.0,unskilled resident,bad
239.0,no checking,critical/other existing credit,radio/tv,1291.0,<100,1<=X<4,female div/sep/mar,35.0,skilled,good
240.0,<0,existing paid,radio/tv,2522.0,<100,>=7,male single,39.0,skilled,good
241.0,<0,existing paid,new car,915.0,no known savings,>=7,female div/sep/mar,29.0,skilled,bad
242.0,no checking,existing paid,radio/tv,1595.0,<100,4<=X<7,male single,51.0,skilled,good
243.0,<0,no credits/all paid,used car,4605.0,<100,>=7,male single,24.0,skilled,bad
244.0,no checking,critical/other existing credit,business,1185.0,<100,1<=X<4,female div/sep/mar,27.0,skilled,good
245.0,no checking,all paid,retraining,3447.0,500<=X<1000,1<=X<4,female div/sep/mar,35.0,unskilled resident,good
246.0,no checking,existing paid,business,1258.0,<100,4<=X<7,male single,25.0,skilled,good
247.0,no checking,critical/other existing credit,radio/tv,717.0,<100,>=7,male single,52.0,skilled,good
248.0,no checking,no credits/all paid,new car,1204.0,100<=X<500,1<=X<4,male single,35.0,skilled,good
249.0,>=200,existing paid,furniture/equipment,1925.0,<100,1<=X<4,male single,26.0,skilled,good
250.0,no checking,existing paid,radio/tv,433.0,<100,unemployed,female div/sep/mar,22.0,skilled,bad
251.0,<0,critical/other existing credit,new car,666.0,>=1000,4<=X<7,female div/sep/mar,39.0,unskilled resident,good
252.0,>=200,existing paid,furniture/equipment,2251.0,<100,1<=X<4,female div/sep/mar,46.0,unskilled resident,good
253.0,0<=X<200,existing paid,new car,2150.0,<100,1<=X<4,female div/sep/mar,24.0,skilled,bad
254.0,no checking,delayed previously,furniture/equipment,4151.0,100<=X<500,1<=X<4,male single,35.0,skilled,good
255.0,0<=X<200,existing paid,furniture/equipment,2030.0,no known savings,4<=X<7,male single,24.0,skilled,good
256.0,0<=X<200,delayed previously,radio/tv,7418.0,no known savings,1<=X<4,male single,27.0,unskilled resident,good
257.0,no checking,critical/other existing credit,radio/tv,2684.0,<100,1<=X<4,male single,35.0,unskilled resident,good
258.0,<0,all paid,radio/tv,2149.0,<100,1<=X<4,male div/sep,29.0,skilled,bad
259.0,no checking,existing paid,used car,3812.0,100<=X<500,<1,female div/sep/mar,23.0,skilled,good
260.0,no checking,critical/other existing credit,radio/tv,1154.0,100<=X<500,unemployed,female div/sep/mar,57.0,unskilled resident,good
261.0,<0,existing paid,furniture/equipment,1657.0,<100,1<=X<4,male single,27.0,skilled,good
262.0,<0,existing paid,radio/tv,1603.0,<100,>=7,female div/sep/mar,55.0,skilled,good
263.0,<0,critical/other existing credit,new car,5302.0,<100,>=7,male single,36.0,high qualif/self emp/mgmt,good
264.0,no checking,critical/other existing credit,education,2748.0,<100,>=7,female div/sep/mar,57.0,unskilled resident,good
265.0,no checking,critical/other existing credit,new car,1231.0,<100,>=7,male single,32.0,unskilled resident,good
266.0,0<=X<200,existing paid,radio/tv,802.0,<100,>=7,male single,37.0,skilled,bad
267.0,no checking,critical/other existing credit,business,6304.0,no known savings,>=7,male single,36.0,skilled,good
